problem,solution,par
"Fifty-one trillion litres, to be precise (7)",LITERAL,3
"Small salad of lime and, say, cheese (5)",SMILE,2
"False start, exiting Boston roundabout (3, 2)","NOT SO",2
"Pig's so crazy for dirt (6)",GOSSIP,2
"Liking when head of state becomes centrist? (5)",TASTE,2
"Playing piano after American season of pipe organs? (9)",??,3
"Blank white squares in a box? The first of tricky problems (7)",??,3
"Blackbeard rumoured to have submerged body part in canal? (7)",EARDRUM,3
"100% leather lingerie's always turning heads (3)",ALL,1
"Raise centre of net in badminton? (7)",??,3
"Tingers tolded!? (4)",FIST,2
"Listen out for Mum (6)",SILENT,2
"Every prime cut from homebred cattle? (4)",HERD,2
"Buzzer-beater was thrown with second on stopwatch (4)",SWAT,2
"David selflessly took off armour, pulled back slingshot, eviscerated giant (4)",VAST,2
"Religious space cosmonaut struggling with lack of oxygen (7)",SANCTUM,3
"US coin forsaken by New York stockholder? (3)",PEN,2
"Campers on alert... bears close to home (8)",PERSONAL,2
"Announced you are divorcing mature spouse (4)",MATE,1
"12 - 55 + n = 9 - 12 (5)",TWEEN,4
"Undercover reporter changed surname to protect privacy, initially? (8)",??,3
"PR pro .rD? (4, 6)","SPIN DOCTOR",5
"Dressing naked pair for clip (5)",??,3
"Ballpark teams' tie-breaker (8)",ESTIMATE,2
"Slender shiny sharpened steel strikers!? (6)",??,3
"Little bit of whisky? Not at two in the morning! (4)",??,3
"Blue feathers discarded? (4, 2, 3, 5)",??,3
"20/20 vision eye patch (3)",ONE,1
"Sham hearing: litigate partner for a buck (6)",PSEUDO,4
"Leaves Inca ruins in Western Hemisphere (7)",??,3
"Right, Left! Marches keeping time for strikers? (7)",MATCHES,2
"Rejected dwarf Bashful left plushy toy unfinished (5)",PLUTO,2
"Tailor billed 500 less for offensive suit? (5)",LIBEL,1
"Spain's and France's and Italy's earliest hairy humanoid (4)",YETI,2
"Me? Doing bad, kind of blue (6)",INDIGO,2
"Critic rewound stream featuring female, sheepishly? (8)",??,3
"Brunette's first two AirPods Pro lost in hair, possibly? (6)",BRAIDS,2
"Antique rocking chair in empty attic (7)",ARCHAIC,1
"Crew from vet centre follows possum without hesitation (5)",POSSE,1
"Townswomen wanting directions turned up for debate (4)",MOOT,2
"Volatile element or source of vitamin C? (5, 4)",LEMON TREE,2
"“Heads, Shoulders, Knees & Toes” wraps up one little performance (4)",SKIT,1
"Seizes £1million (8)",??,3
"Close messy garden shed outside (4)",DEAR,1
"Tender letters shared by pub maid and boyfriend? (3)",BID,1
"Uproar from little brother texting you "LOL" (8)",??,3
"So... Paul's loosely related to his wife? (7)",SPOUSAL,2
"Private investigator losing 50 from roulette spin (9)",PIROUETTE,2
"wAnTed!? (2, 5)",AT LARGE,2
"Curtains need to be restitched after this is detached (3, 3)",THE END,2
"Room for kids, yes? Run back to grab second-grader (7)",NURSERY,1
"Expect seat diagonal to 5B, say (7)",??,3
"Early alien race with many legs (5)",RELAY,2
"Retiring police diver oddly wanting to refrain from farming (1, 1, 1, 1, 1)",E I E I O,2
"Egad! I am on duty guarding treasure! (7)",DIAMOND,2
"Summer read ""D"" from ""A-Z""? (5)",ADDER,2
"Stalked in bed, werewolf returned after we drifted off? (6)",FLOWER,1
"Seductive, romantic guy dumped after 'mid' sex (6)",EROTIC,2
"Swarming bumble bees escape stubborn beast (4)",MULE,1
"Slim odds of solving that (6)",SLIGHT,1
"Root canal ache really starts with decay (6)",??,3
"Tap spade over ground (9)",??,3
"Location housing administration's leader!? (6)",??,3
"Water-deprived pharaoh dies after mixing up directions to Eden (8)",PARADISE,2
"Shivers after hour spent devouring "50 Shades of Grey" (7)",??,3
"NOO! SNOW AT 180º? Time to get drenched (7)",MONSOON,1
"Black sheep beginning to moo if it's confused (6)",MISFIT,2
"See outspoken farmers pouring heart out. They live off the land? (9)",??,3
"Rouse ancestors holding one of these? (6)",SEANCE,2
"Horseshoe slipped in awkward canter for horseman? (7)",CENTAUR,2
"One is, in every way, a pig (5)",SWINE,2
"Warm fluid, cold air (7)",CORDIAL,2
"Former partner ate mostly quinoa for special date (7)",EQUINOX,2
"Girl swapped clothes with boyfriend for a lark, perhaps? (4)",BIRD,1
"Shape of _ountain (4)",FORM,3
"Splatter half-baked waffles (8)",PRATTLES,3
"Ancestors of polar, grizzly, panda and teddy counted out loud (9)",FOREBEARS,2
"Small diamond rings upset love... you've done it now! (6)",SOLVED,2
"Exclusive school's tall characters expelled by petite principal (5)",SCOOP,1
"""Out-of-control carousel catapults you"" declared fortune tellers (7)",ORACLES,2
"Unlocking kindness, insight and humility, starts with reflection!? (5)",HAIKU,1
"""Ludicrous!"" I interjected. ""Ludicrous, ludicrous!"" (10)",RIDICULOUS,1
"Run-down backpacker loses backpack (5)",RECAP,3
"Praise for animating Kate Winslet in ""Flushed Away"" (5, 4)","SWEET TALK",3
"Log location if returning by sub (9)",FIREPLACE,4
"Doctor Strange fled, concealing identity (6)",FIDDLE,2
"Sensitive hobbits in film trilogy originally pushed for characters to be taller (5)",SHIFT,1
"Neo-liberal produces writing with a lot of feeling? (7)",BRAILLE,2
"Sitting in class, I'm pleading for a piece of cake (6)",SIMPLE,1
"False image in which water finally appears!? (6)",MIRAGE,1
"""Baa, Baa, Black Sheep"" karaoke practice progressing bit-by-bit (5)",BLEAT,2
"Clients cast non-speaking character in scene? (6, 1)","SILENT C",2
"Witch, removing cauldron lid, gets toad's tail and uncooked chicken out (8)",WITHDRAW,2
"Tease astrologer, half curiously (5)",ROAST,1
"Went inside, texting ""thanks xx"" (6)",TWENTY,2
"Maybe professional sweaters unravel the least? (8)",ATHLETES,2
"Canine denied stick? (4)",CANE,1
"Awkward silence after beloved ultimately says "I do... not" (8)",DECLINES,2
"Cut up fudge? Yes, I could... can you? (6)",SLICED,2
"Time's up, drunk driver (7)",IMPETUS,2
"Sweetheart leaving honey all over appendage? Sounds nice! (7)",HARMONY,3
