id,problem,solution
1152/F2,"# Neko Rules the Catniverse (Large Version)

## Statement
This problem is same as the previous one, but has larger constraints.

Aki is playing a new video game. In the video game, he will control Neko, the giant cat, to fly between planets in the Catniverse.

There are $$$n$$$ planets in the Catniverse, numbered from $$$1$$$ to $$$n$$$. At the beginning of the game, Aki chooses the planet where Neko is initially located. Then Aki performs $$$k - 1$$$ moves, where in each move Neko is moved from the current planet $$$x$$$ to some other planet $$$y$$$ such that:

- Planet $$$y$$$ is not visited yet.
- $$$1 \leq y \leq x + m$$$ (where $$$m$$$ is a fixed constant given in the input)

This way, Neko will visit exactly $$$k$$$ different planets. Two ways of visiting planets are called different if there is some index $$$i$$$ such that, the $$$i$$$-th planet visited in the first way is different from the $$$i$$$-th planet visited in the second way.

What is the total number of ways to visit $$$k$$$ planets this way? Since the answer can be quite large, print it modulo $$$10^9 + 7$$$.

## Input
The only line contains three integers $$$n$$$, $$$k$$$ and $$$m$$$ ($$$1 \le n \le 10^9$$$, $$$1 \le k \le \min(n, 12)$$$, $$$1 \le m \le 4$$$) — the number of planets in the Catniverse, the number of planets Neko needs to visit and the said constant $$$m$$$.

## Output
Print exactly one integer — the number of different ways Neko can visit exactly $$$k$$$ planets. Since the answer can be quite large, print it modulo $$$10^9 + 7$$$.

## Note
In the first example, there are $$$4$$$ ways Neko can visit all the planets:

- $$$1 \rightarrow 2 \rightarrow 3$$$
- $$$2 \rightarrow 3 \rightarrow 1$$$
- $$$3 \rightarrow 1 \rightarrow 2$$$
- $$$3 \rightarrow 2 \rightarrow 1$$$

In the second example, there are $$$9$$$ ways Neko can visit exactly $$$2$$$ planets:

- $$$1 \rightarrow 2$$$
- $$$2 \rightarrow 1$$$
- $$$2 \rightarrow 3$$$
- $$$3 \rightarrow 1$$$
- $$$3 \rightarrow 2$$$
- $$$3 \rightarrow 4$$$
- $$$4 \rightarrow 1$$$
- $$$4 \rightarrow 2$$$
- $$$4 \rightarrow 3$$$

In the third example, with $$$m = 4$$$, Neko can visit all the planets in any order, so there are $$$5! = 120$$$ ways Neko can visit all the planets.

In the fourth example, Neko only visit exactly $$$1$$$ planet (which is also the planet he initially located), and there are $$$100$$$ ways to choose the starting planet for Neko.

## Examples
### Example 1
Input:
```
3 3 1
```
Output:
```
4
```

### Example 2
Input:
```
4 2 1
```
Output:
```
9
```

### Example 3
Input:
```
5 5 4
```
Output:
```
120
```

### Example 4
Input:
```
100 1 2
```
Output:
```
100
```
","{""tests_file"": ""datasets/codeforces_tests/1152F2.json"", ""gen_tests_file"": ""datasets/codeforces_tests_generated/1152F2.json"", ""time_limit"": 7.0, ""memory_limit"": 256.0, ""input_mode"": ""stdio""}"
1028/G,"# Guess the number

## Statement
This problem is interactive.

You should guess hidden number $$$x$$$ which is between $$$1$$$ and $$$M = 10004205361450474$$$, inclusive.

You could use up to $$$5$$$ queries.

In each query, you can output an increasing sequence of $$$k \leq x$$$ integers, each between $$$1$$$ and $$$M$$$, inclusive, and you will obtain one of the following as an answer:

- either the hidden number belongs to your query sequence, in this case you immediately win;
- or you will be given where the hidden number is located with respect to your query sequence, that is, either it is less than all numbers from the sequence, greater than all numbers from the sequence, or you will be given such an $$$i$$$ that the hidden number $$$x$$$ is between the $$$i$$$-th and the $$$(i+1)$$$-st numbers of your sequence.

See the interaction section for clarity.

Be aware that the interactor is adaptive, i.e. the hidden number can depend on queries the solution makes. However, it is guaranteed that for any solution the interactor works non-distinguishable from the situation when the hidden number is fixed beforehand.

Hacks are allowed only with fixed hidden number. A hack is represented by a single integer between $$$1$$$ and $$$M$$$. In all pretests the hidden number is fixed as well.

## Input
nan

## Output
nan

## Note
In the first example the number $$$5$$$ is hidden.

## Examples
### Example 1
Input:
```
2
0
-1
```
Output:
```
2 2 3
2 20 30
3 5 7 9
```
","{""tests_file"": ""datasets/codeforces_tests/1028G.json"", ""gen_tests_file"": ""datasets/codeforces_tests_generated/1028G.json"", ""time_limit"": 2.0, ""memory_limit"": 256.0, ""input_mode"": ""stdio""}"
2045/L,"# Buggy DFS

## Statement
You are currently studying a graph traversal algorithm called the Depth First Search (DFS). However, due to a bug, your algorithm is slightly different from the standard DFS. The following is an algorithm for your Buggy DFS (BDFS), assuming the graph has $$$N$$$ nodes (numbered from $$$1$$$ to $$$N$$$).

You realized that the bug made the algorithm slower than standard DFS, which can be investigated by the return value of the function BDFS(). To investigate the behavior of this algorithm, you want to make some test cases by constructing an undirected simple graph such that the function BDFS() returns $$$K$$$, or determine if it is impossible to do so.

## Input
A single line consisting of an integer $$$K$$$ ($$$1 \leq K \leq 10^9$$$).

## Output
If it is impossible to construct an undirected simple graph such that the function BDFS() returns $$$K$$$, then output -1 -1 in a single line.

Otherwise, output the graph in the following format. The first line consists of two integers $$$N$$$ and $$$M$$$, representing the number of nodes and undirected edges in the graph, respectively. Each of the next $$$M$$$ lines consists of two integers $$$u$$$ and $$$v$$$, representing an undirected edge that connects node $$$u$$$ and node $$$v$$$. You are allowed to output the edges in any order. This graph has to satisfy the following constraints:

- $$$1 \leq N \leq 32\,768$$$
- $$$1 \leq M \leq 65\,536$$$
- $$$1 \leq u, v \leq N$$$, for all edges.
- The graph is a simple graph, i.e. there are no multi-edges nor self-loops.

Note that you are not required to minimize the number of nodes or edges. It can be proven that if constructing a graph in which the return value of BDFS() is $$$K$$$ is possible, then there exists one that satisfies all the constraints above. If there are several solutions, you can output any of them.

## Note
Explanation for the sample input/output #1

The graph on the left describes the output of this sample. The graph on the right describes another valid solution for this sample.

Explanation for the sample input/output #3

The following graph describes the output of this sample.

## Examples
### Example 1
Input:
```
8
```
Output:
```
3 3
1 2
1 3
2 3
```

### Example 2
Input:
```
1
```
Output:
```
-1 -1
```

### Example 3
Input:
```
23
```
Output:
```
5 7
4 5
2 3
3 1
2 4
4 3
2 1
1 5
```
","{""tests_file"": ""datasets/codeforces_tests/2045L.json"", ""gen_tests_file"": ""datasets/codeforces_tests_generated/2045L.json"", ""time_limit"": 1.0, ""memory_limit"": 1024.0, ""input_mode"": ""stdio""}"
1063/E,"# Lasers and Mirrors

## Statement
Oleg came to see the maze of mirrors. The maze is a $$$n$$$ by $$$n$$$ room in which each cell is either empty or contains a mirror connecting opposite corners of this cell. Mirrors in this maze reflect light in a perfect way, which causes the interesting visual effects and contributes to the loss of orientation in the maze.

Oleg is a person of curious nature, so he decided to install $$$n$$$ lasers facing internal of the maze on the south wall of the maze. On the north wall of the maze, Oleg installed $$$n$$$ receivers, also facing internal of the maze. Let's number lasers and receivers from west to east with distinct integers from $$$1$$$ to $$$n$$$. Each laser sends a beam of some specific kind and receiver with number $$$a_i$$$ should receive the beam sent from laser number $$$i$$$. Since two lasers' beams can't come to the same receiver, these numbers form a permutation — each of the receiver numbers occurs exactly once.

You came to the maze together with Oleg. Help him to place the mirrors in the initially empty maze so that the maximum number of lasers' beams will come to the receivers they should. There are no mirrors outside the maze, so if the laser beam leaves the maze, it will not be able to go back.

## Input
The first line contains a single integer $$$n$$$ ($$$1 \le n \le 1000$$$) — the size of the maze.

The second line contains a permutation of $$$n$$$ integers $$$a_i$$$ ($$$1 \le a_i \le n$$$), where $$$a_i$$$ defines the number of the receiver, to which the beam from $$$i$$$-th laser should come.

## Output
In the first line print the maximum possible number of laser beams, which can come to the receivers they should.

In the next $$$n$$$ lines of length $$$n$$$ print the arrangement of mirrors, causing such number of laser beams to come where they should. If the corresponding cell is empty, print ""."", otherwise print ""/"" or ""\"", depending on the orientation of the mirror.

In your output north should be above, south should be below, and west and east should be on left and on the right respectively.

It is allowed for laser beams to come not to the receivers they correspond to, but they are not counted in the answer.

If there are multiple arrangements of mirrors leading to the optimal answer — print any of them.

## Note
The picture illustrates the arrangements of the mirrors in the first example.

## Examples
### Example 1
Input:
```
4
4 1 3 2
```
Output:
```
3
.\..
\\..
/../
...\
```
","{""tests_file"": ""datasets/codeforces_tests/1063E.json"", ""gen_tests_file"": ""datasets/codeforces_tests_generated/1063E.json"", ""time_limit"": 1.0, ""memory_limit"": 256.0, ""input_mode"": ""stdio""}"
1149/D,"# Abandoning Roads

## Statement
Codefortia is a small island country located somewhere in the West Pacific. It consists of $$$n$$$ settlements connected by $$$m$$$ bidirectional gravel roads. Curiously enough, the beliefs of the inhabitants require the time needed to pass each road to be equal either to $$$a$$$ or $$$b$$$ seconds. It's guaranteed that one can go between any pair of settlements by following a sequence of roads.

Codefortia was recently struck by the financial crisis. Therefore, the king decided to abandon some of the roads so that:

- it will be possible to travel between each pair of cities using the remaining roads only,
- the sum of times required to pass each remaining road will be minimum possible (in other words, remaining roads must form minimum spanning tree, using the time to pass the road as its weight),
- among all the plans minimizing the sum of times above, the time required to travel between the king's residence (in settlement $$$1$$$) and the parliament house (in settlement $$$p$$$) using the remaining roads only will be minimum possible.

The king, however, forgot where the parliament house was. For each settlement $$$p = 1, 2, \dots, n$$$, can you tell what is the minimum time required to travel between the king's residence and the parliament house (located in settlement $$$p$$$) after some roads are abandoned?

## Input
The first line of the input contains four integers $$$n$$$, $$$m$$$, $$$a$$$ and $$$b$$$ ($$$2 \leq n \leq 70$$$, $$$n - 1 \leq m \leq 200$$$, $$$1 \leq a < b \leq 10^7$$$) — the number of settlements and gravel roads in Codefortia, and two possible travel times. Each of the following lines contains three integers $$$u, v, c$$$ ($$$1 \leq u, v \leq n$$$, $$$u \neq v$$$, $$$c \in \{a, b\}$$$) denoting a single gravel road between the settlements $$$u$$$ and $$$v$$$, which requires $$$c$$$ minutes to travel.

You can assume that the road network is connected and has no loops or multiedges.

## Output
Output a single line containing $$$n$$$ integers. The $$$p$$$-th of them should denote the minimum possible time required to travel from $$$1$$$ to $$$p$$$ after the selected roads are abandoned. Note that for each $$$p$$$ you can abandon a different set of roads.

## Note
The minimum possible sum of times required to pass each road in the first example is $$$85$$$ — exactly one of the roads with passing time $$$25$$$ must be abandoned. Note that after one of these roads is abandoned, it's now impossible to travel between settlements $$$1$$$ and $$$3$$$ in time $$$50$$$.

## Examples
### Example 1
Input:
```
5 5 20 25
1 2 25
2 3 25
3 4 20
4 5 20
5 1 20
```
Output:
```
0 25 60 40 20
```

### Example 2
Input:
```
6 7 13 22
1 2 13
2 3 13
1 4 22
3 4 13
4 5 13
5 6 13
6 1 13
```
Output:
```
0 13 26 39 26 13
```
","{""tests_file"": ""datasets/codeforces_tests/1149D.json"", ""gen_tests_file"": ""datasets/codeforces_tests_generated/1149D.json"", ""time_limit"": 5.0, ""memory_limit"": 512.0, ""input_mode"": ""stdio""}"
1007/C,"# Guess two numbers

## Statement
This is an interactive problem.

Vasya and Vitya play a game. Vasya thought of two integers $$$a$$$ and $$$b$$$ from $$$1$$$ to $$$n$$$ and Vitya tries to guess them. Each round he tells Vasya two numbers $$$x$$$ and $$$y$$$ from $$$1$$$ to $$$n$$$. If both $$$x=a$$$ and $$$y=b$$$ then Vitya wins. Else Vasya must say one of the three phrases:

1. $$$x$$$ is less than $$$a$$$;
2. $$$y$$$ is less than $$$b$$$;
3. $$$x$$$ is greater than $$$a$$$ or $$$y$$$ is greater than $$$b$$$.

Vasya can't lie, but if multiple phrases are true, he may choose any of them. For example, if Vasya thought of numbers $$$2$$$ and $$$4$$$, then he answers with the phrase $$$3$$$ to a query $$$(3, 4)$$$, and he can answer with the phrase $$$1$$$ or phrase $$$3$$$ to a query $$$(1, 5)$$$.

Help Vitya win in no more than $$$600$$$ rounds.

## Input
The first line contains a single integer $$$n$$$ ($$$1 \leq n \leq 10^{18}$$$) — the upper limit of the numbers.

## Output
nan

## Note
Let's analyze the sample test. The chosen numbers are $$$2$$$ and $$$4$$$. The interactor was given two instructions.

For the query $$$(4, 3)$$$, it can return $$$2$$$ or $$$3$$$. Out of the two instructions the second one is chosen, so the interactor returns $$$a^{23}_2=3$$$.

For the query $$$(3, 4)$$$, it can return only $$$3$$$.

For the query $$$(3, 3)$$$, it can return $$$2$$$ or $$$3$$$. Out of the two instructions the first one is chosen (since in case of equal values, the least number is preferred), so the interactor returns $$$a^{23}_1=2$$$.

For the query $$$(1, 5)$$$, it can return $$$1$$$ or $$$3$$$. Out of the two instructions the first one is chosen, so the interactor returns $$$a^{13}_1=1$$$.

In the fifth query $$$(2, 4)$$$, the numbers are guessed correctly, the player wins.

## Examples
### Example 1
Input:
```
5
3
3
2
1
0
```
Output:
```
4 3
3 4
3 3
1 5
2 4
```
","{""tests_file"": ""datasets/codeforces_tests/1007C.json"", ""gen_tests_file"": ""datasets/codeforces_tests_generated/1007C.json"", ""time_limit"": 2.0, ""memory_limit"": 256.0, ""input_mode"": ""stdio""}"
1175/G,"# Yet Another Partiton Problem

## Statement
You are given array $$$a_1, a_2, \dots, a_n$$$. You need to split it into $$$k$$$ subsegments (so every element is included in exactly one subsegment).

The weight of a subsegment $$$a_l, a_{l+1}, \dots, a_r$$$ is equal to $$$(r - l + 1) \cdot \max\limits_{l \le i \le r}(a_i)$$$. The weight of a partition is a total weight of all its segments.

Find the partition of minimal weight.

## Input
The first line contains two integers $$$n$$$ and $$$k$$$ ($$$1 \le n \le 2 \cdot 10^4$$$, $$$1 \le k \le \min(100, n)$$$) — the length of the array $$$a$$$ and the number of subsegments in the partition.

The second line contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \le a_i \le 2 \cdot 10^4$$$) — the array $$$a$$$.

## Output
Print single integer — the minimal weight among all possible partitions.

## Note
The optimal partition in the first example is next: $$$6$$$ $$$1$$$ $$$7$$$ $$$\bigg|$$$ $$$4$$$.

The optimal partition in the second example is next: $$$6$$$ $$$\bigg|$$$ $$$1$$$ $$$\bigg|$$$ $$$7$$$ $$$4$$$.

One of the optimal partitions in the third example is next: $$$5$$$ $$$\bigg|$$$ $$$1$$$ $$$5$$$ $$$\bigg|$$$ $$$1$$$ $$$\bigg|$$$ $$$5$$$.

## Examples
### Example 1
Input:
```
4 2
6 1 7 4
```
Output:
```
25
```

### Example 2
Input:
```
4 3
6 1 7 4
```
Output:
```
21
```

### Example 3
Input:
```
5 4
5 1 5 1 5
```
Output:
```
21
```
","{""tests_file"": ""datasets/codeforces_tests/1175G.json"", ""gen_tests_file"": ""datasets/codeforces_tests_generated/1175G.json"", ""time_limit"": 5.0, ""memory_limit"": 512.0, ""input_mode"": ""stdio""}"
2018/F2,"# Speedbreaker Counting (Medium Version)

## Statement
This is the medium version of the problem. In the three versions, the constraints on $$$n$$$ and the time limit are different. You can make hacks only if all the versions of the problem are solved.

This is the statement of Problem D1B:

- There are $$$n$$$ cities in a row, numbered $$$1, 2, \ldots, n$$$ left to right.  At time $$$1$$$, you conquer exactly one city, called the starting city.  At time $$$2, 3, \ldots, n$$$, you can choose a city adjacent to the ones conquered so far and conquer it. You win if, for each $$$i$$$, you conquer city $$$i$$$ at a time no later than $$$a_i$$$. A winning strategy may or may not exist, also depending on the starting city. How many starting cities allow you to win?

For each $$$0 \leq k \leq n$$$, count the number of arrays of positive integers $$$a_1, a_2, \ldots, a_n$$$ such that

- $$$1 \leq a_i \leq n$$$ for each $$$1 \leq i \leq n$$$;
- the answer to Problem D1B is $$$k$$$.

The answer can be very large, so you have to calculate it modulo a given prime $$$p$$$.

## Input
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 500$$$). The description of the test cases follows.

The only line of each test case contains two integers $$$n$$$, $$$p$$$ ($$$1 \le n \le 500$$$, $$$10^8 \leq p \leq 10^9$$$, $$$p$$$ is prime) — the number of cities and the modulo.

It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$500$$$.

## Output
For each test case, output $$$n+1$$$ integers: the $$$i$$$-th integer should be the number of arrays that satisfy the conditions for $$$k = i-1$$$.

## Note
In the first test case,

- arrays with $$$1$$$ good starting city: $$$[1]$$$.

In the second test case,

- arrays with $$$0$$$ good starting cities: $$$[1, 1]$$$;
- arrays with $$$1$$$ good starting city: $$$[1, 2]$$$, $$$[2, 1]$$$;
- arrays with $$$2$$$ good starting cities: $$$[2, 2]$$$.

In the third test case,

- arrays with $$$0$$$ good starting cities: $$$[1, 1, 1]$$$, $$$[1, 1, 2]$$$, $$$[1, 1, 3]$$$, $$$[1, 2, 1]$$$, $$$[1, 2, 2]$$$, $$$[1, 3, 1]$$$, $$$[1, 3, 2]$$$, $$$[2, 1, 1]$$$, $$$[2, 1, 2]$$$, $$$[2, 2, 1]$$$, $$$[2, 2, 2]$$$, $$$[2, 3, 1]$$$, $$$[2, 3, 2]$$$, $$$[3, 1, 1]$$$;
- arrays with $$$1$$$ good starting city: $$$[1, 2, 3]$$$, $$$[1, 3, 3]$$$, $$$[2, 1, 3]$$$, $$$[3, 1, 2]$$$, $$$[3, 1, 3]$$$, $$$[3, 2, 1]$$$, $$$[3, 3, 1]$$$;
- arrays with $$$2$$$ good starting cities: $$$[2, 2, 3]$$$, $$$[2, 3, 3]$$$, $$$[3, 2, 2]$$$, $$$[3, 3, 2]$$$;
- arrays with $$$3$$$ good starting cities: $$$[3, 2, 3]$$$, $$$[3, 3, 3]$$$.

## Examples
### Example 1
Input:
```
11
1 998244353
2 998244353
3 998244353
4 998244353
5 998244353
6 998244353
7 998244353
8 998244353
9 998244353
10 102275857
10 999662017
```
Output:
```
0 1 
1 2 1 
14 7 4 2 
183 34 19 16 4 
2624 209 112 120 48 12 
42605 1546 793 992 468 216 36 
785910 13327 6556 9190 4672 2880 864 144 
16382863 130922 61939 94992 50100 36960 14256 4608 576 
382823936 1441729 657784 1086596 583344 488700 216000 96480 23040 2880 
20300780 17572114 7751377 13641280 7376068 6810552 3269700 1785600 576000 144000 14400 
944100756 17572114 7751377 13641280 7376068 6810552 3269700 1785600 576000 144000 14400
```
","{""tests_file"": ""datasets/codeforces_tests/2018F2.json"", ""gen_tests_file"": ""datasets/codeforces_tests_generated/2018F2.json"", ""time_limit"": 10.0, ""memory_limit"": 1024.0, ""input_mode"": ""stdio""}"
1129/E,"# Legendary Tree

## Statement
This is an interactive problem.

A legendary tree rests deep in the forest. Legend has it that individuals who realize this tree would eternally become a Legendary Grandmaster.

To help you determine the tree, Mikaela the Goddess has revealed to you that the tree contains $$$n$$$ vertices, enumerated from $$$1$$$ through $$$n$$$. She also allows you to ask her some questions as follows. For each question, you should tell Mikaela some two disjoint non-empty sets of vertices $$$S$$$ and $$$T$$$, along with any vertex $$$v$$$ that you like. Then, Mikaela will count and give you the number of pairs of vertices $$$(s, t)$$$ where $$$s \in S$$$ and $$$t \in T$$$ such that the simple path from $$$s$$$ to $$$t$$$ contains $$$v$$$.

Mikaela the Goddess is busy and will be available to answer at most $$$11\,111$$$ questions.

This is your only chance. Your task is to determine the tree and report its edges.

## Input
The first line contains an integer $$$n$$$ ($$$2 \leq n \leq 500$$$) — the number of vertices in the tree.

## Output
When program has realized the tree and is ready to report the edges, print ""ANSWER"" in a separate line. Make sure that all letters are capitalized.

Then, print $$$n-1$$$ lines, each containing two space-separated integers, denoting the vertices that are the endpoints of a certain edge. Each edge should be reported exactly once. Your program should then immediately terminate.

## Note
In the sample, the tree is as follows.

$$$n = 5$$$ is given to the program. The program then asks Mikaela a question where $$$S = \{1, 2, 3\}$$$, $$$T = \{4, 5\}$$$, and $$$v = 2$$$, to which she replies with $$$5$$$ (the pairs $$$(s, t)$$$ are $$$(1, 4)$$$, $$$(1, 5)$$$, $$$(2, 4)$$$, $$$(2, 5)$$$, and $$$(3, 5)$$$).

## Examples
### Example 1
Input:
```
5
5
```
Output:
```
3
1 2 3
2
4 5
2
ANSWER
1 2
2 3
3 4
2 5
```
","{""tests_file"": ""datasets/codeforces_tests/1129E.json"", ""gen_tests_file"": ""datasets/codeforces_tests_generated/1129E.json"", ""time_limit"": 3.0, ""memory_limit"": 256.0, ""input_mode"": ""stdio""}"
1190/E,"# Tokitsukaze and Explosion

## Statement
Tokitsukaze and her friends are trying to infiltrate a secret base built by Claris. However, Claris has been aware of that and set a bomb which is going to explode in a minute. Although they try to escape, they have no place to go after they find that the door has been locked.

At this very moment, CJB, Father of Tokitsukaze comes. With his magical power given by Ereshkigal, the goddess of the underworld, CJB is able to set $$$m$$$ barriers to protect them from the explosion. Formally, let's build a Cartesian coordinate system on the plane and assume the bomb is at $$$O(0, 0)$$$. There are $$$n$$$ persons in Tokitsukaze's crew, the $$$i$$$-th one of whom is at $$$P_i(X_i, Y_i)$$$. Every barrier can be considered as a line with infinity length and they can intersect each other. For every person from Tokitsukaze's crew, there must be at least one barrier separating the bomb and him, which means the line between the bomb and him intersects with at least one barrier. In this definition, if there exists a person standing at the position of the bomb, any line through $$$O(0, 0)$$$ will satisfy the requirement.

Although CJB is very powerful, he still wants his barriers to be as far from the bomb as possible, in order to conserve his energy. Please help him calculate the maximum distance between the bomb and the closest barrier while all of Tokitsukaze's crew are safe.

## Input
The first line contains two integers $$$n$$$, $$$m$$$ ($$$1 \leq n, m \leq 10^5$$$), indicating the number of people and the number of barriers respectively.

The $$$i$$$-th line of the next $$$n$$$ lines contains two integers $$$X_i$$$, $$$Y_i$$$ ($$$-10^5 \leq X_i, Y_i \leq 10^5$$$), indicating the $$$i$$$-th person's location $$$P_i(X_i, Y_i)$$$. Note that $$$P_i$$$ may have the same coordinates as $$$P_j$$$ ($$$j \neq i$$$) or even $$$O$$$.

## Output
Print a single real number — the maximum distance meeting the requirement. Your answer is considered correct if its absolute or relative error does not exceed $$$10^{-6}$$$.

Formally, let your answer be $$$a$$$, and the jury's answer be $$$b$$$. Your answer is accepted if and only if $$$\frac{|a - b|}{\max(1, |b|)} \leq 10^{-6}$$$.

## Note
In the first two examples, CJB must set the barrier crossing $$$O(0, 0)$$$.

In the last two examples, CJB can set each barrier crossing some $$$P_i$$$ such that the barrier is perpendicular to the line between $$$P_i$$$ and $$$O$$$.

## Examples
### Example 1
Input:
```
3 1
2 0
0 2
-1 0
```
Output:
```
0.0000000000
```

### Example 2
Input:
```
1 1
0 0
```
Output:
```
0.0000000000
```

### Example 3
Input:
```
2 1
-1 -1
-1 -1
```
Output:
```
1.4142135617
```

### Example 4
Input:
```
3 100000
3 2
-1 -3
2 -5
```
Output:
```
3.1622776602
```
","{""tests_file"": ""datasets/codeforces_tests/1190E.json"", ""gen_tests_file"": ""datasets/codeforces_tests_generated/1190E.json"", ""time_limit"": 6.0, ""memory_limit"": 256.0, ""input_mode"": ""stdio""}"
