problem,solution
Other: fecevi xote quhuga xote nehapo English: the frogs will hit the bird\nOther: quhuga xote gamevi laji nehapo English: the bird will hit people\nOther: xivuvi laji quhuvi xote nehame English: monkeys hit the birds\nOther: cifega laji bodevi laji nehapo English: a crow will hit children\nOther: quhuvi xote fecevi laji funome English: the birds remember frogs\nOther: xivuvi xote bodega laji nehapo English: ,the monkeys will hit a child
English: the frogs will hit the bird Other: fecevi xote quhuga xote nehapo\nEnglish: the bird will hit people Other: quhuga xote gamevi laji nehapo\nEnglish: monkeys hit the birds Other: xivuvi laji quhuvi xote nehame\nEnglish: a crow will hit children Other: cifega laji bodevi laji nehapo\nEnglish: the birds remember frogs Other: quhuvi xote fecevi laji funome\nEnglish: the monkeys will hit a child Other: ,xivuvi xote bodega laji nehapo
Other: nibi zarake yofohe vahu yojeke English: a monkey praised the crow\nOther: nibi yojeke jigehe nibi caxaro English: a crow liked children\nOther: nibi yojeke nayohe vahu cegero English: a crow remembered the cats\nOther: nibi hiboke yofoxu nibi caxake English: a frog praises a child\nOther: nibi zarake welixu vahu hiboro English: a monkey wants the frogs\nOther: nibi hiboke welihe vahu yojeke English: ,a frog wanted the crow
English: a monkey praised the crow Other: nibi zarake yofohe vahu yojeke\nEnglish: a crow liked children Other: nibi yojeke jigehe nibi caxaro\nEnglish: a crow remembered the cats Other: nibi yojeke nayohe vahu cegero\nEnglish: a frog praises a child Other: nibi hiboke yofoxu nibi caxake\nEnglish: a monkey wants the frogs Other: nibi zarake welixu vahu hiboro\nEnglish: a frog wanted the crow Other: ,nibi hiboke welihe vahu yojeke
Other: wide jemuxu zecane cita joxiji English: the monkeys will hit a frog\nOther: cita sujoxu lafoqe cita yayoji English: children praised a person\nOther: cita joxiji wemixi cita jemuxu English: a frog likes monkeys\nOther: wide yayoji lafone cita sujoxu English: the person will praise children\nOther: wide yayoxu nigixi cita vokexu English: the people see dogs\nOther: wide vokexu nigixi cita sujoji English: ,the dogs see a child
English: the monkeys will hit a frog Other: wide jemuxu zecane cita joxiji\nEnglish: children praised a person Other: cita sujoxu lafoqe cita yayoji\nEnglish: a frog likes monkeys Other: cita joxiji wemixi cita jemuxu\nEnglish: the person will praise children Other: wide yayoji lafone cita sujoxu\nEnglish: the people see dogs Other: wide yayoxu nigixi cita vokexu\nEnglish: the dogs see a child Other: ,wide vokexu nigixi cita sujoji
Other: zojofe saqo divafe saqo nicice English: the monkey will see the crow\nOther: dalexo saqo divafe nixi nicice English: the people will see a crow\nOther: divafe saqo rotixo saqo yekihe English: the crow liked the dogs\nOther: rotixo saqo fagexo saqo balice English: the dogs will want the dolphins\nOther: rotixo nixi dalefe saqo nicihe English: dogs saw the person\nOther: zojofe nixi divafe saqo nicihe English: ,a monkey saw the crow
English: the monkey will see the crow Other: zojofe saqo divafe saqo nicice\nEnglish: the people will see a crow Other: dalexo saqo divafe nixi nicice\nEnglish: the crow liked the dogs Other: divafe saqo rotixo saqo yekihe\nEnglish: the dogs will want the dolphins Other: rotixo saqo fagexo saqo balice\nEnglish: dogs saw the person Other: rotixo nixi dalefe saqo nicihe\nEnglish: a monkey saw the crow Other: ,zojofe nixi divafe saqo nicihe
Other: pazo muhome puroki pazo waheyu English: the frogs slap the monkey\nOther: pazo jucame puroki pazo wevuyu English: the crows slap the cat\nOther: pazo waheme pimeki pazo muhome English: the monkeys hit the frogs\nOther: pazo gaceyu batuko pazo wevume English: the dog will touch the cats\nOther: jisi jucame deneko pazo waheme English: crows will remember the monkeys\nOther: pazo wevume puroki pazo waheme English: ,the cats slap the monkeys
English: the frogs slap the monkey Other: pazo muhome puroki pazo waheyu\nEnglish: the crows slap the cat Other: pazo jucame puroki pazo wevuyu\nEnglish: the monkeys hit the frogs Other: pazo waheme pimeki pazo muhome\nEnglish: the dog will touch the cats Other: pazo gaceyu batuko pazo wevume\nEnglish: crows will remember the monkeys Other: jisi jucame deneko pazo waheme\nEnglish: the cats slap the monkeys Other: ,pazo wevume puroki pazo waheme
