problem,solution,probes,positives,negatives,item_space,answer_raw,features,depth,base_rate,neg_types,edit_distance_stats,neg_provenance
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. 5601
  2. 3009
  3. 6150
  4. 1137
  5. 7230
  6. 3324

Group B (negative examples):
  1. 4150
  2. 5608
  3. 3124
  4. 1437
  5. 3309
  6. 9230",the sum of the digits is exactly 12,"[{""item"": ""0219"", ""label"": ""A""}, {""item"": ""7131"", ""label"": ""A""}, {""item"": ""4530"", ""label"": ""A""}, {""item"": ""2999"", ""label"": ""B""}, {""item"": ""8661"", ""label"": ""B""}, {""item"": ""4224"", ""label"": ""A""}, {""item"": ""0838"", ""label"": ""B""}, {""item"": ""2307"", ""label"": ""A""}, {""item"": ""1265"", ""label"": ""B""}, {""item"": ""3370"", ""label"": ""B""}]","[""5601"", ""3009"", ""6150"", ""1137"", ""7230"", ""3324""]","[""4150"", ""5608"", ""3124"", ""1437"", ""3309"", ""9230""]",lower_digit_L4,digit sum equals 12,"[""digit_sum""]",0,0.04,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 1, ""mean"": 1.0}","[{""neg"": ""9230"", ""src"": ""7230"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""5608"", ""src"": ""5601"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""1437"", ""src"": ""1137"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""3309"", ""src"": ""3009"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""4150"", ""src"": ""6150"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""3124"", ""src"": ""3324"", ""method"": ""close_simple"", ""ed"": 1}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. isemv
  2. thpat
  3. hearp
  4. rkedt
  5. bsrwi
  6. vtplo

Group B (negative examples):
  1. rkqdt
  2. bsrgi
  3. tbpat
  4. isevv
  5. eearp
  6. vtppo",the Scrabble score is exactly 10,"[{""item"": ""heiop"", ""label"": ""A""}, {""item"": ""wtaob"", ""label"": ""A""}, {""item"": ""qsyep"", ""label"": ""B""}, {""item"": ""akzuf"", ""label"": ""B""}, {""item"": ""rjyxj"", ""label"": ""B""}, {""item"": ""lscfe"", ""label"": ""A""}, {""item"": ""dtldh"", ""label"": ""A""}, {""item"": ""eebva"", ""label"": ""A""}, {""item"": ""kbblw"", ""label"": ""B""}, {""item"": ""wqgrs"", ""label"": ""B""}]","[""isemv"", ""thpat"", ""hearp"", ""rkedt"", ""bsrwi"", ""vtplo""]","[""rkqdt"", ""bsrgi"", ""tbpat"", ""isevv"", ""eearp"", ""vtppo""]",lower_alpha_L5,scrabble score equals 10,"[""scrabble_score""]",0,0.05,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 1, ""mean"": 1.0}","[{""neg"": ""eearp"", ""src"": ""hearp"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""isevv"", ""src"": ""isemv"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""bsrgi"", ""src"": ""bsrwi"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""rkqdt"", ""src"": ""rkedt"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""vtppo"", ""src"": ""vtplo"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""tbpat"", ""src"": ""thpat"", ""method"": ""close_simple"", ""ed"": 1}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. srj
  2. yja
  3. tyoi
  4. iiil
  5. pdr
  6. eitax

Group B (negative examples):
  1. eitx
  2. zyja
  3. kdr
  4. tyod
  5. sfrj
  6. iil",the total Morse code length is exactly 10,"[{""item"": ""frjuknf"", ""label"": ""B""}, {""item"": ""xmnm"", ""label"": ""A""}, {""item"": ""xeidw"", ""label"": ""B""}, {""item"": ""verm"", ""label"": ""A""}, {""item"": ""mqvcty"", ""label"": ""B""}, {""item"": ""bxixg"", ""label"": ""B""}, {""item"": ""gyr"", ""label"": ""A""}, {""item"": ""tws"", ""label"": ""B""}, {""item"": ""apy"", ""label"": ""A""}, {""item"": ""glg"", ""label"": ""A""}]","[""srj"", ""yja"", ""tyoi"", ""iiil"", ""pdr"", ""eitax""]","[""eitx"", ""zyja"", ""kdr"", ""tyod"", ""sfrj"", ""iil""]",lower_alpha_L3-7,morse length equals 10,"[""morse_length""]",0,0.07,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 1, ""mean"": 1.0}","[{""neg"": ""zyja"", ""src"": ""yja"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""tyod"", ""src"": ""tyoi"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""eitx"", ""src"": ""eitax"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""kdr"", ""src"": ""pdr"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""iil"", ""src"": ""iiil"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""sfrj"", ""src"": ""srj"", ""method"": ""close_simple"", ""ed"": 1}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. 82369
  2. 324
  3. 01
  4. 576
  5. 25
  6. 1369

Group B (negative examples):
  1. 8236
  2. 76
  3. 14369
  4. 354
  5. 52
  6. 061",the number is a perfect square,"[{""item"": ""1156"", ""label"": ""A""}, {""item"": ""3413"", ""label"": ""B""}, {""item"": ""025"", ""label"": ""A""}, {""item"": ""03"", ""label"": ""B""}, {""item"": ""00"", ""label"": ""A""}, {""item"": ""58805"", ""label"": ""B""}, {""item"": ""361"", ""label"": ""A""}, {""item"": ""68556"", ""label"": ""B""}, {""item"": ""16"", ""label"": ""A""}, {""item"": ""08"", ""label"": ""B""}]","[""82369"", ""324"", ""01"", ""576"", ""25"", ""1369""]","[""8236"", ""76"", ""14369"", ""354"", ""52"", ""061""]",lower_digit_L2-5,is perfect square,"[""is_perfect_square""]",0,0.05,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 2, ""mean"": 1.17}","[{""neg"": ""52"", ""src"": ""25"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""354"", ""src"": ""324"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""14369"", ""src"": ""1369"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""8236"", ""src"": ""82369"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""061"", ""src"": ""01"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""76"", ""src"": ""576"", ""method"": ""close_simple"", ""ed"": 1}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. cnt
  2. @xd%+
  3. d+p@
  4. !r$j
  5. *jk
  6. +*etka

Group B (negative examples):
  1. 7*jk
  2. !r$
  3. @xm%+
  4. hd+p@
  5. 1nt
  6. +*eta",the total Morse code length is exactly 7,"[{""item"": ""zz2wz="", ""label"": ""B""}, {""item"": ""++m"", ""label"": ""B""}, {""item"": ""=qg@"", ""label"": ""A""}, {""item"": ""lgc$%&u"", ""label"": ""B""}, {""item"": ""6&n%"", ""label"": ""A""}, {""item"": ""!f@gyzx"", ""label"": ""B""}, {""item"": ""i#e-j@"", ""label"": ""A""}, {""item"": ""*de"", ""label"": ""B""}, {""item"": ""@r%h"", ""label"": ""A""}, {""item"": ""*nmr"", ""label"": ""A""}]","[""cnt"", ""@xd%+"", ""d+p@"", ""!r$j"", ""*jk"", ""+*etka""]","[""7*jk"", ""!r$"", ""@xm%+"", ""hd+p@"", ""1nt"", ""+*eta""]",lower_with_symbols_L3-7,morse length equals 7,"[""morse_length""]",0,0.03,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 1, ""mean"": 1.0}","[{""neg"": ""7*jk"", ""src"": ""*jk"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""hd+p@"", ""src"": ""d+p@"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""@xm%+"", ""src"": ""@xd%+"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""+*eta"", ""src"": ""+*etka"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""1nt"", ""src"": ""cnt"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""!r$"", ""src"": ""!r$j"", ""method"": ""close_simple"", ""ed"": 1}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. egu
  2. elqt
  3. ekm
  4. ejrty
  5. cfhq
  6. bds

Group B (negative examples):
  1. okm
  2. jbds
  3. ejgu
  4. elqyt
  5. fchq
  6. ejety",each letter comes later in the alphabet than the previous,"[{""item"": ""kcmpi"", ""label"": ""B""}, {""item"": ""ina"", ""label"": ""B""}, {""item"": ""hvz"", ""label"": ""A""}, {""item"": ""ipu"", ""label"": ""A""}, {""item"": ""iuc"", ""label"": ""B""}, {""item"": ""kyz"", ""label"": ""A""}, {""item"": ""uqq"", ""label"": ""B""}, {""item"": ""hlrxy"", ""label"": ""A""}, {""item"": ""wgfmjsy"", ""label"": ""B""}, {""item"": ""ptz"", ""label"": ""A""}]","[""egu"", ""elqt"", ""ekm"", ""ejrty"", ""cfhq"", ""bds""]","[""okm"", ""jbds"", ""ejgu"", ""elqyt"", ""fchq"", ""ejety""]",lower_alpha_L3-7,alpha diffs positive,"[""alpha_diffs_positive""]",0,0.05,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 2, ""mean"": 1.17}","[{""neg"": ""okm"", ""src"": ""ekm"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""elqyt"", ""src"": ""elqt"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""ejety"", ""src"": ""ejrty"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""jbds"", ""src"": ""bds"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""fchq"", ""src"": ""cfhq"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""ejgu"", ""src"": ""egu"", ""method"": ""close_simple"", ""ed"": 1}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. cmhmc
  2. tjcjt
  3. uanau
  4. tkjkt
  5. sthts
  6. zpipz

Group B (negative examples):
  1. cmhcm
  2. tjjct
  3. tjkkt
  4. xanau
  5. zpipq
  6. sthtb",the string is a palindrome,"[{""item"": ""gwdnh"", ""label"": ""B""}, {""item"": ""udptv"", ""label"": ""B""}, {""item"": ""xrzmt"", ""label"": ""B""}, {""item"": ""xoode"", ""label"": ""B""}, {""item"": ""ahnha"", ""label"": ""A""}, {""item"": ""lajal"", ""label"": ""A""}, {""item"": ""omsts"", ""label"": ""B""}, {""item"": ""ctgtc"", ""label"": ""A""}, {""item"": ""qsksq"", ""label"": ""A""}, {""item"": ""ryyyr"", ""label"": ""A""}]","[""cmhmc"", ""tjcjt"", ""uanau"", ""tkjkt"", ""sthts"", ""zpipz""]","[""cmhcm"", ""tjjct"", ""tjkkt"", ""xanau"", ""zpipq"", ""sthtb""]",lower_alpha_L5,is palindrome,"[""is_palindrome""]",0,0.00,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 2, ""mean"": 1.5}","[{""neg"": ""cmhcm"", ""src"": ""cmhmc"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""xanau"", ""src"": ""uanau"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""zpipq"", ""src"": ""zpipz"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""sthtb"", ""src"": ""sthts"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""tjkkt"", ""src"": ""tkjkt"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""tjjct"", ""src"": ""tjcjt"", ""method"": ""close_simple"", ""ed"": 2}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. bdrkd
  2. jbkbs
  3. wjohm
  4. lpvgq
  5. cfgdh
  6. kmwzl

Group B (negative examples):
  1. upvgq
  2. jbkbi
  3. cfgah
  4. kmwel
  5. wojhm
  6. berkd",the consonant-vowel pattern is a palindrome,"[{""item"": ""gobzw"", ""label"": ""B""}, {""item"": ""dxncb"", ""label"": ""A""}, {""item"": ""iczfg"", ""label"": ""B""}, {""item"": ""cicmn"", ""label"": ""B""}, {""item"": ""uwrkt"", ""label"": ""B""}, {""item"": ""pgjnw"", ""label"": ""A""}, {""item"": ""jdcds"", ""label"": ""A""}, {""item"": ""flecv"", ""label"": ""A""}, {""item"": ""ruotv"", ""label"": ""B""}, {""item"": ""ryfjk"", ""label"": ""A""}]","[""bdrkd"", ""jbkbs"", ""wjohm"", ""lpvgq"", ""cfgdh"", ""kmwzl""]","[""upvgq"", ""jbkbi"", ""cfgah"", ""kmwel"", ""wojhm"", ""berkd""]",lower_alpha_L5,cv pattern is palindrome,"[""cv_pattern_is_palindrome""]",0,0.50,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 2, ""mean"": 1.17}","[{""neg"": ""berkd"", ""src"": ""bdrkd"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""jbkbi"", ""src"": ""jbkbs"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""upvgq"", ""src"": ""lpvgq"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""cfgah"", ""src"": ""cfgdh"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""kmwel"", ""src"": ""kmwzl"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""wojhm"", ""src"": ""wjohm"", ""method"": ""close_simple"", ""ed"": 2}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. ulfjo
  2. rgbhb
  3. axq
  4. fqrilmk
  5. nut
  6. owsvsfw

Group B (negative examples):
  1. owsvsw
  2. axqf
  3. cnut
  4. rgbheb
  5. fqrlmk
  6. dulfjo",the length of the string is prime,"[{""item"": ""kqd"", ""label"": ""A""}, {""item"": ""eqxd"", ""label"": ""B""}, {""item"": ""fwciarq"", ""label"": ""A""}, {""item"": ""iddpup"", ""label"": ""B""}, {""item"": ""mbq"", ""label"": ""A""}, {""item"": ""axnd"", ""label"": ""B""}, {""item"": ""etqw"", ""label"": ""B""}, {""item"": ""zwg"", ""label"": ""A""}, {""item"": ""cxmfonu"", ""label"": ""A""}, {""item"": ""flnw"", ""label"": ""B""}]","[""ulfjo"", ""rgbhb"", ""axq"", ""fqrilmk"", ""nut"", ""owsvsfw""]","[""owsvsw"", ""axqf"", ""cnut"", ""rgbheb"", ""fqrlmk"", ""dulfjo""]",lower_alpha_L3-7,length is prime,"[""length""]",0,0.59,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 1, ""mean"": 1.0}","[{""neg"": ""rgbheb"", ""src"": ""rgbhb"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""axqf"", ""src"": ""axq"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""owsvsw"", ""src"": ""owsvsfw"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""dulfjo"", ""src"": ""ulfjo"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""cnut"", ""src"": ""nut"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""fqrlmk"", ""src"": ""fqrilmk"", ""method"": ""close_simple"", ""ed"": 1}]"
"Here is a Bongard problem. Items in Group A all share a property
that items in Group B do not have. What is the rule?

Group A (positive examples):
  1. v55d2
  2. 8j7wb
  3. 40j2c
  4. rd0w7
  5. 5u5mi
  6. mb3x3

Group B (negative examples):
  1. mbx33
  2. u55mi
  3. 40j29
  4. rdnw7
  5. 5v5d2
  6. dj7wb",the number of character-type transitions is exactly 3,"[{""item"": ""iec09"", ""label"": ""B""}, {""item"": ""ktxwn"", ""label"": ""B""}, {""item"": ""ainjc"", ""label"": ""B""}, {""item"": ""j66gz"", ""label"": ""B""}, {""item"": ""tl8f2"", ""label"": ""A""}, {""item"": ""2hi0v"", ""label"": ""A""}, {""item"": ""ja1b9"", ""label"": ""A""}, {""item"": ""wxffi"", ""label"": ""B""}, {""item"": ""4r7yw"", ""label"": ""A""}, {""item"": ""k6jh5"", ""label"": ""A""}]","[""v55d2"", ""8j7wb"", ""40j2c"", ""rd0w7"", ""5u5mi"", ""mb3x3""]","[""mbx33"", ""u55mi"", ""40j29"", ""rdnw7"", ""5v5d2"", ""dj7wb""]",lower_alnum_L5,count char type transitions equals 3,"[""count_char_type_transitions""]",0,0.17,"{""close_targeted"": 0, ""close_simple"": 6, ""random"": 0}","{""min"": 1, ""max"": 2, ""mean"": 1.5}","[{""neg"": ""rdnw7"", ""src"": ""rd0w7"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""dj7wb"", ""src"": ""8j7wb"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""mbx33"", ""src"": ""mb3x3"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""40j29"", ""src"": ""40j2c"", ""method"": ""close_simple"", ""ed"": 1}, {""neg"": ""5v5d2"", ""src"": ""v55d2"", ""method"": ""close_simple"", ""ed"": 2}, {""neg"": ""u55mi"", ""src"": ""5u5mi"", ""method"": ""close_simple"", ""ed"": 2}]"
