problem,solution
"""Baa, Baa, Black Sheep"" karaoke practice progressing bit-by-bit (5)",BLEAT
"Rich, 6'6"", with dreamy face (5)",VIVID
"Maybe uniform eater eats uniform eater? (5)",MOUTH
"He's into splattering paint - quite the scene-maker! (8)",THESPIAN
"Beau, Victor, Rocky, Neil, Nate (9)",VALENTINE
"Creepy stalker from Los Angeles follows stars, wants our bodyguards gone? (9)",TARANTULA
"You, me and everyone possibly in favour of love among nuns (8)",PRONOUNS
"7-Eleven uniform among ugliest uniforms (5, 4)",MINUS FOUR
"Fig 'n' ram! (5, 7)",MIXED FARMING
"12 - 55 + n = 9 - 12 (5)",TWEEN
"Blackbeard rumoured to have submerged body part in canal? (7)",EARDRUM
"Fifty-one trillion litres, to be precise (7)",LITERAL
"Religious space cosmonaut struggling with lack of oxygen (7)",SANCTUM
"Otto (your second cousin twice removed) crushed audition (6)",TRYOUT
"Bluebeard selecting squares for patch (3)",BED
"No hiding from dinosaur rampaging halfway across the globe? (6)",RADIUS
