problem,solution,par
"Small salad of lime and, say, cheese (5)",SMILE,2
"False start, exiting Boston roundabout (3, 2)","NOT SO",2
"Pig's so crazy for dirt (6)",GOSSIP,2
"Liking when head of state becomes centrist? (5)",TASTE,2
"Tingers tolded!? (4)",FIST,2
"Listen out for Mum (6)",SILENT,2
"Every prime cut from homebred cattle? (4)",HERD,2
"Buzzer-beater was thrown with second on stopwatch (4)",SWAT,2
"David selflessly took off armour, pulled back slingshot, eviscerated giant (4)",VAST,2
"US coin forsaken by New York stockholder? (3)",PEN,2
"Campers on alert... bears close to home (8)",PERSONAL,2
"Ballpark teams' tie-breaker (8)",ESTIMATE,2
"Right, Left! Marches keeping time for strikers? (7)",MATCHES,2
"Rejected dwarf Bashful left plushy toy unfinished (5)",PLUTO,2
"Spain's and France's and Italy's earliest hairy humanoid (4)",YETI,2
"Me? Doing bad, kind of blue (6)",INDIGO,2
"Brunette's first two AirPods Pro lost in hair, possibly? (6)",BRAIDS,2
"Townswomen wanting directions turned up for debate (4)",MOOT,2
"Volatile element or source of vitamin C? (5, 4)",LEMON TREE,2
"So... Paul's loosely related to his wife? (7)",SPOUSAL,2
"Private investigator losing 50 from roulette spin (9)",PIROUETTE,2
"wAnTed!? (2, 5)",AT LARGE,2
"Curtains need to be restitched after this is detached (3, 3)",THE END,2
"Early alien race with many legs (5)",RELAY,2
"Retiring police diver oddly wanting to refrain from farming (1, 1, 1, 1, 1)",E I E I O,2
"Egad! I am on duty guarding treasure! (7)",DIAMOND,2
"Summer read ""D"" from ""A-Z""? (5)",ADDER,2
"Seductive, romantic guy dumped after 'mid' sex (6)",EROTIC,2
"Water-deprived pharaoh dies after mixing up directions to Eden (8)",PARADISE,2
"Black sheep beginning to moo if it's confused (6)",MISFIT,2
"Rouse ancestors holding one of these? (6)",SEANCE,2
"Horseshoe slipped in awkward canter for horseman? (7)",CENTAUR,2
"One is, in every way, a pig (5)",SWINE,2
"Warm fluid, cold air (7)",CORDIAL,2
"Former partner ate mostly quinoa for special date (7)",EQUINOX,2
"Ancestors of polar, grizzly, panda and teddy counted out loud (9)",FOREBEARS,2
"Small diamond rings upset love... you've done it now! (6)",SOLVED,2
"""Out-of-control carousel catapults you"" declared fortune tellers (7)",ORACLES,2
"Doctor Strange fled, concealing identity (6)",FIDDLE,2
"Neo-liberal produces writing with a lot of feeling? (7)",BRAILLE,2
"""Baa, Baa, Black Sheep"" karaoke practice progressing bit-by-bit (5)",BLEAT,2
"Clients cast non-speaking character in scene? (6, 1)","SILENT C",2
"Witch, removing cauldron lid, gets toad's tail and uncooked chicken out (8)",WITHDRAW,2
"Went inside, texting ""thanks xx"" (6)",TWENTY,2
"Maybe professional sweaters unravel the least? (8)",ATHLETES,2
"Awkward silence after beloved ultimately says "I do... not" (8)",DECLINES,2
"Cut up fudge? Yes, I could... can you? (6)",SLICED,2
"Time's up, drunk driver (7)",IMPETUS,2
"Honey bear fails at beekeeping and misses start to hiving seasons altogether? (3, 4)","ONE YEAR",2
"Kangaroo chewed oak leaves, eucalyptus bark & fruit (7)",ORANGES,2
"""Too many!"" you said, leaving a throuple arrangement (8)",PLETHORA,2
"Leads from our karaoke club amps interfere with Bose volume setting? (8)",BOOKCASE,2
"Prancer prances, adorning exterior of tree for Jesus, perhaps (9)",CARPENTER,2
"Places to read two signs overlapping (9)",LIBRARIES,2
"Pole Dancer lives at manor - that's secret! (5)",NORTH,2
"Married life turns cold after we first kiss (7)",WEDLOCK,2
"Spell POTS, SUN, OLD & CAR wrong? (9)",CAULDRONS,2
"Hunted lost bear, sleep-deprived grizzly with an appetite (8)",HUNGRILY,2
"Chicken crosses avenue to get to the other side? (6)",HEAVEN,2
"It's not just bad acting that he's into (8)",CHEATING,2
"String from viola you tuned for composition (6)",LAYOUT,2
"Ghostbusting duo to start uncontrollably blasting weapon (7)",SHOTGUN,2
"Get out! Shakespeare to banish Romeo and bring in Charlie? (6)",ESCAPE,2
"Alert ears flipped directions (4)",WARN,2
"Mark really lost everything after end of relationship (4)",PREY,2
"Original Big Bad Wolf is foremost huffing and puffing creature (8)",BLOWFISH,2
"Torpedo! Boat wreckage swallowed by rough sea around midnight (8)",SABOTAGE,2
"_ < 20? (10)",UNDERSCORE,2
"Wolf pack roved with uncertainty, initially turning back (6)",DEVOUR,2
"Doctor transplants heart with heart of one! (5)",DONOR,2
"Opening two letters from clown, touchingly sad? (4)",DOWN,2
"Ground uneven! Pesky mole! (3)",SPY,2
"Car somersaults during distance event, defying belief (7)",MIRACLE,2
"Anagram indicator? Yes - here, every single word is! (10)",DICTIONARY,2
"Break free from hunter's latest bird trap (4)",BEAK,2
"Support astrophysicist after being stripped of award and key qualifications (6)",ASSIST,2
"He's into splattering paint - quite the scene-maker! (8)",THESPIAN,2
"Dropped Jacksonville's latest quarterback after non-pass? (4)",FELL,2
"Apparel store discounting item of clothing with odd scent? (6)",CLOSET,2
"""Let him bleed!"" - prisoner. ""Prick!"" - guard. (7)",THIMBLE,2
"I'm bald, clutching wobbly cane, and prone to falling over (10)",IMBALANCED,2
"Bluebeard selecting squares for patch (3)",BED,2
"Otto (your second cousin twice removed) crushed audition (6)",TRYOUT,2
"Early plea entered, charge overturned & case dismissed for plot involving axes (5)",GRAPH,2
"Blemish turning part of white rose yellow (7)","EYESORE",2
