problem,solution,par
"100% leather lingerie's always turning heads (3)",ALL,1
"Announced you are divorcing mature spouse (4)",MATE,1
"20/20 vision eye patch (3)",ONE,1
"Tailor billed 500 less for offensive suit? (5)",LIBEL,1
"Antique rocking chair in empty attic (7)",ARCHAIC,1
"Crew from vet centre follows possum without hesitation (5)",POSSE,1
"“Heads, Shoulders, Knees & Toes” wraps up one little performance (4)",SKIT,1
"Close messy garden shed outside (4)",DEAR,1
"Tender letters shared by pub maid and boyfriend? (3)",BID,1
"Room for kids, yes? Run back to grab second-grader (7)",NURSERY,1
"Stalked in bed, werewolf returned after we drifted off? (6)",FLOWER,1
"Swarming bumble bees escape stubborn beast (4)",MULE,1
"Slim odds of solving that (6)",SLIGHT,1
"NOO! SNOW AT 180º? Time to get drenched (7)",MONSOON,1
"Girl swapped clothes with boyfriend for a lark, perhaps? (4)",BIRD,1
"Exclusive school's tall characters expelled by petite principal (5)",SCOOP,1
"Unlocking kindness, insight and humility, starts with reflection!? (5)",HAIKU,1
"""Ludicrous!"" I interjected. ""Ludicrous, ludicrous!"" (10)",RIDICULOUS,1
"Sensitive hobbits in film trilogy originally pushed for characters to be taller (5)",SHIFT,1
"Sitting in class, I'm pleading for a piece of cake (6)",SIMPLE,1
"False image in which water finally appears!? (6)",MIRAGE,1
"Tease astrologer, half curiously (5)",ROAST,1
"Canine denied stick? (4)",CANE,1
"Drops in between Tue-Thu on the way back? (3)",DEW,1
"Out-of-control car leads to something horrible!? (5)",CRASH,1
"Agitate, unload, dry! (2, 7)","DO LAUNDRY",1
"Tinder mismatch after swiping right… Abort! (3, 2)","END IT",1
"Oceanographer's 9 to 5 is noble? (5)",ARGON,1
"Surrounded by frantic maids shouting ""TEA!"" (6)",AMIDST,1
"Lie (v.) to twist; to conceal (4)",VEIL,1
"Box for dead pet of Schrödinger contains almost half-skeleton (6)",CASKET,1
"Eva and Ruth - runners up to Miss World (5)",EARTH,1
"Plain, unsalted barnacle (4)",BARE,1
"How illusionist disguises a dead giveaway? (4)",WILL,1
""Never coming back!" Dining experience ends with cold dish? (7)",REVENGE,1
"Package returned in Wednesday's post (4)",SEND,1
"Broadcaster's question: ""Is Jamie Oliver completely naked?"" (2, 1, 4)","AM I LIVE",1
"Love initially absent from prom dance (7)",ROMANCE,1
"Looks without blinking end in tears tears tears (6)",STARES,1
"Gorilla's face broke out from allergy - bananas, in fact (6)",REALLY,1
"No hiding from dinosaur rampaging halfway across the globe? (6)",RADIUS,1
"Fabled beauty of chameleon dropping camouflage briefly (5)","HELEN",1
"Consequence of misusing debit card! (3, 6)","BAD CREDIT",1
